instance,use_ac3,use_ac3_meanwhile,fc,var_heuristic,val_heuristic,execution_time
instances/coloring/myciel3.col.txt,False,False,False,static,static,0.006774
instances/coloring/myciel4.col.txt,False,False,False,static,static,0.086047
instances/coloring/myciel5.col.txt,False,False,False,static,static,0.887844
instances/coloring/myciel6.col.txt,False,False,False,static,static,3.05099
instances/coloring/myciel3.col.txt,False,False,False,static,inverse,0.007693
instances/coloring/myciel4.col.txt,False,False,False,static,inverse,0.084958
instances/coloring/myciel5.col.txt,False,False,False,static,inverse,0.886169
instances/coloring/myciel6.col.txt,False,False,False,static,inverse,3.030753
instances/coloring/myciel3.col.txt,False,False,False,static,random,0.007658
instances/coloring/myciel4.col.txt,False,False,False,static,random,0.084829
instances/coloring/myciel5.col.txt,False,False,False,static,random,3.007359
instances/coloring/myciel3.col.txt,False,False,False,static,LCV,0.007337
instances/coloring/myciel4.col.txt,False,False,False,static,LCV,0.08559
instances/coloring/myciel5.col.txt,False,False,False,static,LCV,0.892499
instances/coloring/myciel6.col.txt,False,False,False,static,LCV,3.042123
instances/coloring/myciel3.col.txt,False,False,False,MRV,static,0.007876
instances/coloring/myciel4.col.txt,False,False,False,MRV,static,0.08655
instances/coloring/myciel5.col.txt,False,False,False,MRV,static,0.88922
instances/coloring/myciel6.col.txt,False,False,False,MRV,static,3.076396
instances/coloring/myciel3.col.txt,False,False,False,MRV,inverse,0.007957
instances/coloring/myciel4.col.txt,False,False,False,MRV,inverse,0.087739
instances/coloring/myciel5.col.txt,False,False,False,MRV,inverse,0.902674
instances/coloring/myciel6.col.txt,False,False,False,MRV,inverse,3.006869
instances/coloring/myciel3.col.txt,False,False,False,MRV,random,0.007837
instances/coloring/myciel4.col.txt,False,False,False,MRV,random,0.086652
instances/coloring/myciel5.col.txt,False,False,False,MRV,random,0.885067
instances/coloring/myciel6.col.txt,False,False,False,MRV,random,3.053486
instances/coloring/myciel3.col.txt,False,False,False,MRV,LCV,0.007989
instances/coloring/myciel4.col.txt,False,False,False,MRV,LCV,0.087088
instances/coloring/myciel5.col.txt,False,False,False,MRV,LCV,0.896618
instances/coloring/myciel6.col.txt,False,False,False,MRV,LCV,3.090655
instances/coloring/myciel3.col.txt,False,False,False,degree,static,0.007758
instances/coloring/myciel4.col.txt,False,False,False,degree,static,0.084991
instances/coloring/myciel5.col.txt,False,False,False,degree,static,0.878458
instances/coloring/myciel6.col.txt,False,False,False,degree,static,3.074206
instances/coloring/myciel3.col.txt,False,False,False,degree,inverse,0.007901
instances/coloring/myciel4.col.txt,False,False,False,degree,inverse,0.085458
instances/coloring/myciel5.col.txt,False,False,False,degree,inverse,0.87229
instances/coloring/myciel6.col.txt,False,False,False,degree,inverse,3.047594
instances/coloring/myciel3.col.txt,False,False,False,degree,random,0.007759
instances/coloring/myciel4.col.txt,False,False,False,degree,random,0.654787
instances/coloring/myciel5.col.txt,False,False,False,degree,random,0.870524
instances/coloring/myciel6.col.txt,False,False,False,degree,random,3.04007
instances/coloring/myciel3.col.txt,False,False,False,degree,LCV,0.00791
instances/coloring/myciel4.col.txt,False,False,False,degree,LCV,0.086059
instances/coloring/myciel5.col.txt,False,False,False,degree,LCV,0.873087
instances/coloring/myciel6.col.txt,False,False,False,degree,LCV,3.071127
