instance,use_ac3,use_ac3_meanwhile,fc,var_heuristic,val_heuristic,execution_time
4,False,False,False,static,static,0.000916
5,False,False,False,static,static,0.001615
6,False,False,False,static,static,0.028778
7,False,False,False,static,static,0.015829
8,False,False,False,static,static,0.416627
9,False,False,False,static,static,0.256037
10,False,False,False,static,static,1.054968
11,False,False,False,static,static,0.841668
12,False,False,False,static,static,6.434819
13,False,False,False,static,static,4.067168
14,False,False,False,static,static,20.017553
4,False,False,False,static,inverse,0.000947
5,False,False,False,static,inverse,0.001641
6,False,False,False,static,inverse,0.028108
7,False,False,False,static,inverse,0.015629
8,False,False,False,static,inverse,0.407684
9,False,False,False,static,inverse,0.257457
10,False,False,False,static,inverse,1.053973
11,False,False,False,static,inverse,0.843425
12,False,False,False,static,inverse,6.361546
13,False,False,False,static,inverse,3.947744
14,False,False,False,static,inverse,20.016469
4,False,False,False,static,random,0.001036
5,False,False,False,static,random,0.001756
6,False,False,False,static,random,0.025435
7,False,False,False,static,random,0.016487
8,False,False,False,static,random,0.048406
9,False,False,False,static,random,0.15882
10,False,False,False,static,random,0.119531
11,False,False,False,static,random,3.880216
12,False,False,False,static,random,0.349502
13,False,False,False,static,random,7.938042
14,False,False,False,static,random,1.870618
15,False,False,False,static,random,1.988655
16,False,False,False,static,random,6.314798
17,False,False,False,static,random,15.514702
18,False,False,False,static,random,3.700519
19,False,False,False,static,random,15.6881
20,False,False,False,static,random,20.221373
4,False,False,False,static,LCV,0.001063
5,False,False,False,static,LCV,0.002719
6,False,False,False,static,LCV,0.036021
7,False,False,False,static,LCV,0.058618
8,False,False,False,static,LCV,0.477862
9,False,False,False,static,LCV,0.888864
10,False,False,False,static,LCV,1.729227
11,False,False,False,static,LCV,3.816434
12,False,False,False,static,LCV,3.655648
13,False,False,False,static,LCV,20.004202
4,False,False,False,MRV,static,0.000993
5,False,False,False,MRV,static,0.001713
6,False,False,False,MRV,static,0.025064
7,False,False,False,MRV,static,0.012009
8,False,False,False,MRV,static,0.278442
9,False,False,False,MRV,static,0.156645
10,False,False,False,MRV,static,0.371432
11,False,False,False,MRV,static,0.984625
12,False,False,False,MRV,static,3.798317
13,False,False,False,MRV,static,7.364229
14,False,False,False,MRV,static,6.394188
